puns,percentage
The dietician had instructed the oranges to sweet out the fat.,76.0
"The ripe orange in the meeting said, ""I have a bitter idea for the picnic.""",77.0
"Whenever the orange got excited, his heart started to pulpitate.",78.0
The lemon said to her boyfriend while breaking up that their relationship had several blurred limes.,79.0
"The mother, orange was angry with her children's behavior, said, ""You need to know where to draw the lime.""",80.0
"The inspiring citrus leader said ""We must squeeze the day and act now!""",81.0
"When the girlfriend and boyfriend tangerines were finally reunited, the boy asked, ""Orange you glad to see me?""",82.0
"The two newly married nectarines said that ""We are made for peach other.""",83.0
The nectarine left everyone s-peach-less in his debut performance on the stage.,84.0
The apples made a piece of jewelry out of peaches and called them nectarines.,85.0
The peach boss a-peach-iate-d the orange-inal ideas from his employees.,86.0
The peach teacher advised his students to always practice what they peached.,87.0
"The mama peach said to her daughter, ""You're a peach of my heart.'",88.0
The avocado that shows bravery is called a bravocado.,89.0
After marriage the grapes lived happily avo-after.,90.0
"In the zoo of the fruits, the scariest animal is a guaco-dile.",91.0
The avocados thanked the hosts for their hass-pitality.,92.0
The little baby of the avocados was very avocadorable.,93.0
The avocado wanted to avo-cuddle with his avo-cat-o.,94.0
The two avocados opened a business and named it avoca-bros.,95.0
"When the dips were all eaten up, the host realized he reached the guac bottom.",96.0
The gooseberry said she was swimming against the currant when she had an accident in the ocean.,97.0
The mother strawberry told her children to always respect the elderberries.,98.0
"The raspberry had invited guests for the party and greeted them saying, ""Berry happy to see you.""",99.0
The blackberry and his siblings performed their jam session for the family.,100.0
"As a mark of their friendship, the fig and the guava have berried a box under the tree on their porch.",101.0
"The strawberries said to their children, ""We love you berry much"" as they left for college.",102.0
"As the pandemic reached its peak, the fruits were berry worried and felt as if all hell broke juice.",103.0
