,user,drinks_type,order_time,menudf_index
315,user66,Water,17,3
316,user66,,12,10
317,user66,Juice,20,19
318,user66,Tea,10,11
319,user66,Juice,10,8
320,user337,Juice,12,10
321,user337,,10,6
322,user337,Tea,11,5
323,user337,Smoothie,13,4
324,user337,Smoothie,20,7
325,user337,Juice,13,6
326,user337,Smoothie,10,3
327,user337,Water,18,2
328,user337,Water,10,5
329,user337,Tea,18,18
330,user168,,21,3
331,user168,Juice,9,10
332,user168,Juice,9,8
333,user168,Water,16,4
334,user168,Water,15,2
335,user168,Juice,17,25
336,user168,Coffee,20,16
337,user168,,21,17
338,user168,Coffee,22,6
339,user168,Coffee,9,3
340,user372,Water,18,7
341,user372,Juice,16,18
342,user372,Coffee,16,3
343,user372,Coffee,13,17
344,user372,,9,17
345,user372,Tea,17,3
346,user372,Coffee,10,16
347,user372,Tea,15,24
348,user372,,21,23
349,user372,,15,14
350,user219,Juice,9,20
351,user219,Coffee,22,17
352,user219,Juice,16,10
353,user219,Water,11,22
354,user219,Tea,20,8
355,user219,Tea,10,1
356,user219,Coffee,20,1
357,user219,Tea,20,12
358,user219,Juice,18,12
359,user219,Smoothie,16,11
360,user58,Coffee,12,15
361,user58,Coffee,15,2
362,user58,Tea,20,0
363,user58,Tea,11,13
364,user58,Juice,18,0
365,user58,,20,6
366,user58,Smoothie,9,9
367,user58,Juice,16,23
368,user58,Smoothie,22,18
369,user58,Smoothie,16,23
370,user201,Smoothie,12,24
371,user201,Water,9,5
372,user201,,13,3
373,user201,Juice,21,10
374,user201,Juice,9,1
375,user201,Water,9,14
376,user201,Water,19,18
377,user201,,18,7
378,user201,Smoothie,18,16
379,user201,Tea,18,6
380,user63,Coffee,14,25
381,user63,Water,14,20
382,user63,,20,18
383,user63,Coffee,14,8
384,user63,Tea,9,15
385,user63,Water,20,6
386,user63,,16,24
387,user63,Tea,14,13
388,user63,Tea,10,9
389,user63,Coffee,13,14
390,user150,Water,17,11
391,user150,Water,16,11
392,user150,Juice,21,2
393,user150,Water,10,24
394,user150,Smoothie,19,11
395,user150,Smoothie,19,7
396,user150,Tea,10,13
397,user150,Coffee,15,2
398,user150,Smoothie,9,16
399,user150,Tea,9,1
400,user186,Water,13,17
401,user186,Coffee,13,23
402,user186,Tea,11,17
403,user186,Tea,11,15
404,user186,,15,16
405,user186,Coffee,19,25
406,user186,Tea,11,17
407,user186,Juice,14,14
408,user186,Coffee,16,8
409,user186,,20,14
410,user286,,22,22
411,user286,Coffee,11,10
412,user286,Coffee,12,18
413,user286,,22,16
414,user286,Water,16,4
415,user286,,11,12
416,user286,Water,20,11
417,user286,Smoothie,15,4
418,user286,,20,20
419,user286,Tea,21,15
420,user117,Smoothie,22,3
421,user117,Coffee,13,22
422,user117,Water,13,18
423,user117,Water,17,20
424,user117,Smoothie,17,21
425,user117,Water,13,3
426,user117,Juice,14,5
427,user117,Tea,17,9
428,user117,Tea,19,7
429,user117,Smoothie,14,20
430,user412,Water,19,12
431,user412,Tea,19,16
432,user412,Smoothie,21,22
433,user412,Water,17,5
434,user412,Tea,12,21
435,user412,,14,15
436,user412,Coffee,16,24
437,user412,Tea,13,25
438,user412,Smoothie,11,9
439,user412,Coffee,19,5
440,user4,Water,17,20
441,user4,Smoothie,17,14
442,user4,Juice,16,15
443,user4,Water,12,24
444,user4,Juice,10,12
445,user4,Water,14,13
446,user4,Juice,20,14
447,user4,Smoothie,17,11
448,user4,Coffee,16,8
449,user4,Tea,21,23
450,user32,Coffee,20,19
451,user32,Coffee,21,0
452,user32,Water,20,1
453,user32,Coffee,12,21
454,user32,Coffee,10,16
455,user32,,19,2
456,user32,Water,11,7
457,user32,Juice,16,9
458,user32,Smoothie,13,12
459,user32,Coffee,22,4
460,user68,Tea,11,18
461,user68,Juice,13,6
462,user68,Juice,10,21
463,user68,Water,9,5
464,user68,Coffee,15,18
465,user68,Tea,10,19
466,user68,Tea,17,10
467,user68,Tea,14,12
468,user68,Smoothie,18,17
469,user68,Juice,9,22
470,user237,,12,23
471,user237,Water,11,4
472,user237,Water,10,1
473,user237,Juice,11,3
474,user237,Coffee,14,21
475,user237,Smoothie,9,1
476,user237,Water,17,14
477,user237,Water,16,20
478,user237,Tea,14,10
479,user237,Tea,22,24
480,user176,,16,20
481,user176,Juice,14,2
482,user176,Tea,18,21
483,user176,Water,10,2
484,user176,Coffee,21,18
485,user176,Juice,20,25
486,user176,Juice,14,22
487,user176,Tea,10,3
488,user176,,12,13
489,user176,Smoothie,14,12
490,user355,Juice,21,10
491,user355,Juice,21,24
492,user355,Juice,10,24
493,user355,Tea,16,11
494,user355,Coffee,16,7
495,user355,,9,24
496,user355,Water,21,7
497,user355,Water,16,17
498,user355,Juice,21,20
499,user355,Tea,17,23
500,user188,Juice,17,17
501,user188,Smoothie,19,6
502,user188,Coffee,18,7
503,user188,,20,2
504,user188,Water,21,5
505,user188,,22,13
506,user188,Tea,19,12
507,user188,Smoothie,20,14
508,user188,Water,13,21
509,user188,,17,2
510,user336,,18,6
511,user336,Water,13,13
512,user336,Juice,10,17
513,user336,Water,18,3
514,user336,,10,12
515,user336,Water,13,1
516,user336,Coffee,19,8
517,user336,Water,20,4
518,user336,Tea,17,22
519,user336,Tea,19,8
520,user342,,21,1
521,user342,,22,6
522,user342,Tea,13,10
523,user342,Smoothie,20,5
524,user342,Water,18,17
525,user342,,15,24
526,user342,Smoothie,11,22
527,user342,Water,22,9
528,user342,Coffee,11,21
529,user342,Smoothie,20,11
530,user216,Coffee,13,16
531,user216,,9,5
532,user216,Water,19,0
533,user216,Water,14,11
534,user216,Tea,22,24
535,user216,Smoothie,11,10
536,user216,Juice,10,16
537,user216,Smoothie,20,13
538,user216,Juice,17,24
539,user216,Water,15,18
540,user56,Smoothie,21,1
541,user56,Water,19,13
542,user56,,11,3
543,user56,,17,3
544,user56,Smoothie,20,7
545,user56,Coffee,11,11
546,user56,,12,4
547,user56,Coffee,10,23
548,user56,Smoothie,18,22
549,user56,,18,18
550,user250,Coffee,20,22
551,user250,,9,8
552,user250,Juice,19,12
553,user250,,11,10
554,user250,Juice,12,9
555,user250,Tea,11,1
556,user250,Tea,20,25
557,user250,,13,18
558,user250,Smoothie,18,1
559,user250,Smoothie,15,18
560,user53,Smoothie,11,25
561,user53,,17,18
562,user53,Water,20,10
563,user53,Juice,18,16
564,user53,Tea,17,4
565,user53,Coffee,15,2
566,user53,Coffee,14,5
567,user53,Water,12,1
568,user53,,10,16
569,user53,Coffee,14,17
570,user299,Smoothie,14,11
571,user299,Tea,14,20
572,user299,Water,12,3
573,user299,Water,18,11
574,user299,Tea,17,12
575,user299,Juice,20,10
576,user299,Tea,13,6
577,user299,Juice,15,23
578,user299,,9,15
579,user299,Tea,15,12
580,user129,Smoothie,18,3
581,user129,Smoothie,14,22
582,user129,Water,13,4
583,user129,Coffee,12,7
584,user129,,10,14
585,user129,Smoothie,9,7
586,user129,Smoothie,12,13
587,user129,Coffee,19,2
588,user129,Juice,17,9
589,user129,,13,18
590,user426,Juice,18,10
591,user426,Juice,11,11
592,user426,Water,18,18
593,user426,Smoothie,18,4
594,user426,,11,4
595,user426,Juice,21,17
596,user426,Tea,21,22
597,user426,,11,4
598,user426,Juice,19,18
599,user426,Juice,9,22
600,user454,,19,25
601,user454,Smoothie,12,19
602,user454,Juice,16,18
603,user454,Tea,18,2
604,user454,Juice,12,16
605,user454,Coffee,14,1
606,user454,,9,18
607,user454,Water,9,15
608,user454,Water,14,20
609,user454,Smoothie,22,5
610,user210,Smoothie,17,6
611,user210,Water,20,17
612,user210,Water,19,2
613,user210,Tea,16,16
614,user210,Smoothie,11,22
615,user210,Water,9,12
616,user210,Coffee,10,8
617,user210,Water,10,1
618,user210,Juice,20,17
619,user210,Coffee,11,20
620,user205,Smoothie,19,22
621,user205,Smoothie,21,16
622,user205,Water,13,20
623,user205,Tea,21,21
624,user205,Water,12,17
625,user205,Smoothie,19,2
626,user205,Juice,12,13
627,user205,,19,18
628,user205,Juice,22,4
629,user205,Water,13,4
630,user351,Tea,21,8
631,user351,Juice,21,5
632,user351,Coffee,21,23
633,user351,Smoothie,18,19
634,user351,Juice,10,21
635,user351,Smoothie,16,6
636,user351,Tea,9,25
637,user351,Juice,20,24
638,user351,,15,6
639,user351,Tea,15,23
640,user369,Juice,10,8
641,user369,,10,8
642,user369,Smoothie,19,24
643,user369,Tea,19,18
644,user369,Smoothie,14,5
645,user369,Water,11,19
646,user369,Tea,21,22
647,user369,Water,17,16
648,user369,Smoothie,21,9
649,user369,Tea,13,20
650,user190,Tea,9,19
651,user190,Smoothie,10,8
652,user190,Coffee,12,10
653,user190,Coffee,22,8
654,user190,Smoothie,19,20
655,user190,Water,9,22
656,user190,Juice,16,17
657,user190,Tea,12,16
658,user190,,12,0
659,user190,Tea,17,16
660,user461,Coffee,19,10
661,user461,Juice,12,9
662,user461,Coffee,16,19
663,user461,,12,3
664,user461,Coffee,17,0
665,user461,,12,21
666,user461,Coffee,20,2
667,user461,,9,15
668,user461,Juice,17,17
669,user461,Coffee,17,11
670,user117,Juice,16,8
671,user117,Coffee,16,0
672,user117,Coffee,19,9
673,user117,Water,15,5
674,user117,,22,14
675,user117,,19,12
676,user117,Tea,11,22
677,user117,Coffee,11,5
678,user117,Water,22,10
679,user117,Tea,10,0
680,user184,Smoothie,17,25
681,user184,Smoothie,15,16
682,user184,Water,18,22
683,user184,Juice,15,16
684,user184,Juice,9,16
685,user184,Smoothie,9,11
686,user184,Coffee,20,8
687,user184,Smoothie,17,2
688,user184,Tea,18,13
689,user184,Smoothie,18,25
690,user439,Smoothie,13,2
691,user439,Juice,19,12
692,user439,,14,13
693,user439,Smoothie,19,14
694,user439,Coffee,12,4
695,user439,Water,19,9
696,user439,Coffee,14,3
697,user439,,19,10
698,user439,Smoothie,20,7
699,user439,Smoothie,13,3
700,user354,Juice,11,0
701,user354,Smoothie,9,10
702,user354,Tea,16,17
703,user354,Water,9,18
704,user354,Water,9,22
705,user354,Coffee,22,2
706,user354,Coffee,19,18
707,user354,Water,9,2
708,user354,Juice,10,15
709,user354,Smoothie,9,3
710,user421,Coffee,18,14
711,user421,Juice,11,2
712,user421,,14,13
713,user421,,12,12
714,user421,Coffee,10,3
715,user421,Tea,13,24
716,user421,Tea,16,17
717,user421,Smoothie,10,25
718,user421,Water,16,5
719,user421,,19,10
720,user418,Smoothie,13,6
721,user418,Juice,21,16
722,user418,,15,18
723,user418,Tea,17,12
724,user418,Water,9,4
725,user418,Water,11,13
726,user418,Smoothie,21,4
727,user418,Coffee,10,8
728,user418,Smoothie,13,16
729,user418,Tea,11,7
730,user338,Coffee,11,5
731,user338,Water,12,18
732,user338,Juice,22,16
733,user338,Smoothie,12,21
734,user338,Coffee,14,15
735,user338,Water,10,25
736,user338,Water,22,21
737,user338,Juice,17,3
738,user338,,17,18
739,user338,Smoothie,20,13
740,user349,Coffee,13,1
741,user349,Smoothie,16,23
742,user349,,10,14
743,user349,Tea,21,22
744,user349,,13,22
745,user349,Tea,13,9
746,user349,Smoothie,15,0
747,user349,Water,22,1
748,user349,Tea,12,0
749,user349,Water,9,23
750,user214,Water,17,11
751,user214,Smoothie,20,3
752,user214,Juice,22,1
753,user214,Coffee,16,1
754,user214,Tea,22,21
755,user214,Tea,20,18
756,user214,Juice,13,16
757,user214,Juice,22,18
758,user214,Tea,16,25
759,user214,Tea,17,21
760,user354,Smoothie,17,23
761,user354,Coffee,15,14
762,user354,Tea,11,12
763,user354,Smoothie,22,5
764,user354,Water,21,20
765,user354,Juice,10,5
766,user354,Smoothie,15,21
767,user354,Coffee,10,24
768,user354,Tea,21,20
769,user354,Smoothie,13,0
770,user434,Coffee,9,17
771,user434,,14,12
772,user434,,21,25
773,user434,Coffee,10,19
774,user434,Coffee,22,24
775,user434,Water,16,16
776,user434,Smoothie,13,22
777,user434,Smoothie,15,0
778,user434,Water,16,13
779,user434,Water,21,5
780,user288,Smoothie,19,12
781,user288,,9,10
782,user288,Juice,11,7
783,user288,Coffee,19,16
784,user288,,15,3
785,user288,Smoothie,22,19
786,user288,,13,9
787,user288,Juice,12,7
788,user288,Water,10,12
789,user288,,13,3
790,user26,,22,7
791,user26,Water,15,21
792,user26,Water,10,0
793,user26,Smoothie,17,13
794,user26,Water,15,16
795,user26,Water,14,3
796,user26,Water,11,1
797,user26,,14,8
798,user26,Juice,12,7
799,user26,Juice,12,11
800,user465,Juice,16,22
801,user465,Tea,10,5
802,user465,Coffee,14,12
803,user465,Tea,12,6
804,user465,Smoothie,17,0
805,user465,Tea,15,0
806,user465,Coffee,18,17
807,user465,Juice,11,12
808,user465,Juice,20,15
809,user465,Tea,15,19
810,user71,,16,3
811,user71,Coffee,22,9
812,user71,Tea,11,3
813,user71,Water,15,4
814,user71,,10,20
815,user71,Tea,21,17
816,user71,Coffee,22,7
817,user71,Juice,19,15
818,user71,Juice,16,10
819,user71,Smoothie,11,18
820,user189,Juice,18,25
821,user189,Tea,21,6
822,user189,Smoothie,20,2
823,user189,Juice,14,25
824,user189,Water,16,3
825,user189,Water,10,3
826,user189,,15,21
827,user189,Tea,17,1
828,user189,Juice,14,1
829,user189,Juice,13,0
830,user36,Water,16,4
831,user36,Water,22,0
832,user36,Tea,16,24
833,user36,Smoothie,13,16
834,user36,Water,13,7
835,user36,Juice,9,18
836,user36,Juice,22,7
837,user36,Juice,22,22
838,user36,Tea,9,15
839,user36,Juice,15,16
840,user298,Water,14,11
841,user298,Smoothie,20,2
842,user298,Tea,16,15
843,user298,Tea,10,18
844,user298,Coffee,10,19
845,user298,,21,8
846,user298,Smoothie,15,24
847,user298,Coffee,13,23
848,user298,Tea,14,19
849,user298,Smoothie,21,9
850,user458,Coffee,10,17
851,user458,Tea,9,15
852,user458,,15,23
853,user458,Water,10,21
854,user458,,19,5
855,user458,Tea,19,12
856,user458,Water,9,10
857,user458,,17,14
858,user458,Juice,19,7
859,user458,Coffee,20,21
860,user295,Smoothie,9,18
861,user295,Smoothie,22,1
862,user295,Juice,11,8
863,user295,Tea,19,15
864,user295,Juice,10,9
865,user295,Tea,12,18
866,user295,Smoothie,20,19
867,user295,Water,9,19
868,user295,Smoothie,11,16
869,user295,Smoothie,21,9
870,user362,Juice,17,7
871,user362,Coffee,20,4
872,user362,Water,21,10
873,user362,Coffee,10,23
874,user362,Smoothie,12,11
875,user362,Tea,20,25
876,user362,Juice,18,5
877,user362,Smoothie,14,25
878,user362,,21,12
879,user362,Tea,15,19
880,user279,Tea,22,23
881,user279,Tea,21,3
882,user279,,11,19
883,user279,Coffee,11,22
884,user279,Coffee,21,11
885,user279,Tea,14,2
886,user279,Juice,22,5
887,user279,Juice,11,14
888,user279,Juice,16,15
889,user279,,19,22
890,user333,Juice,16,16
891,user333,Coffee,12,12
892,user333,Water,19,11
893,user333,Water,12,12
894,user333,Water,17,21
895,user333,Water,13,13
896,user333,Tea,21,2
897,user333,Smoothie,21,2
898,user333,Water,10,11
899,user333,Water,13,22
900,user304,Juice,14,14
901,user304,Smoothie,19,17
902,user304,Coffee,15,13
903,user304,Tea,11,1
904,user304,Juice,13,20
905,user304,Juice,12,0
906,user304,Water,10,4
907,user304,Juice,22,15
908,user304,Smoothie,17,18
909,user304,,19,22
910,user6,Water,22,0
911,user6,Water,13,18
912,user6,Coffee,21,9
913,user6,Juice,18,11
914,user6,Tea,18,5
915,user6,Tea,18,15
916,user6,Tea,20,7
917,user6,Coffee,20,25
918,user6,Smoothie,16,14
919,user6,Juice,19,8
920,user7,,19,16
921,user7,Juice,11,7
922,user7,Smoothie,15,24
923,user7,,21,14
924,user7,,12,23
925,user7,Water,13,4
926,user7,Smoothie,10,22
927,user7,,16,11
928,user7,,15,18
929,user7,,9,8
930,user133,Tea,21,11
931,user133,,19,22
932,user133,Smoothie,10,13
933,user133,Coffee,10,21
934,user133,Smoothie,18,22
935,user133,Juice,17,2
936,user133,Tea,10,20
937,user133,Tea,18,14
938,user133,,13,0
939,user133,Juice,15,1
940,user31,Coffee,11,20
941,user31,Smoothie,17,19
942,user31,Smoothie,18,10
943,user31,Water,16,19
944,user31,,10,22
945,user31,Smoothie,10,8
946,user31,Coffee,17,16
947,user31,Coffee,21,9
948,user31,Coffee,21,7
949,user31,Juice,14,10
950,user448,Coffee,15,3
951,user448,,9,11
952,user448,Juice,16,9
953,user448,Juice,21,2
954,user448,Smoothie,14,8
955,user448,Coffee,15,20
956,user448,Coffee,14,4
957,user448,Smoothie,20,8
958,user448,,11,24
959,user448,Coffee,13,10
960,user343,Smoothie,9,22
961,user343,Tea,22,23
962,user343,Coffee,22,23
963,user343,Tea,15,5
964,user343,Tea,19,10
965,user343,Coffee,14,24
966,user343,Juice,21,0
967,user343,Tea,9,18
968,user343,Coffee,20,9
969,user343,Tea,9,2
970,user389,Juice,10,23
971,user389,Coffee,20,10
972,user389,Juice,17,21
973,user389,Water,18,25
974,user389,Coffee,21,24
975,user389,Water,22,2
976,user389,,21,14
977,user389,,16,12
978,user389,Water,13,15
979,user389,Coffee,16,19
980,user378,,13,5
981,user378,Water,17,11
982,user378,Smoothie,18,11
983,user378,,14,8
984,user378,,22,18
985,user378,Coffee,18,17
986,user378,Smoothie,9,23
987,user378,Juice,18,21
988,user378,Tea,9,6
989,user378,Smoothie,20,24
990,user345,Coffee,12,1
991,user345,Coffee,12,21
992,user345,Water,11,19
993,user345,,16,5
994,user345,Juice,13,21
995,user345,Tea,22,18
996,user345,Smoothie,14,5
997,user345,Juice,16,18
998,user345,,19,17
999,user345,,14,16
1000,user174,Smoothie,12,5
1001,user174,Smoothie,20,4
1002,user174,,15,23
1003,user174,Water,19,0
1004,user174,Juice,16,9
1005,user174,Tea,11,19
1006,user174,,17,18
1007,user174,Water,13,3
1008,user174,,12,1
1009,user174,Smoothie,13,6
1010,user479,Coffee,13,20
1011,user479,Smoothie,10,15
1012,user479,Juice,19,2
1013,user479,Tea,17,21
1014,user479,Tea,22,5
1015,user479,Water,9,5
1016,user479,,9,22
1017,user479,Coffee,21,11
1018,user479,Coffee,19,4
1019,user479,Coffee,21,1
1020,user234,Water,13,12
1021,user234,Smoothie,14,7
1022,user234,Tea,22,9
1023,user234,,10,7
1024,user234,Juice,17,2
1025,user234,Coffee,20,24
1026,user234,Water,18,1
1027,user234,Tea,13,2
1028,user234,Coffee,22,9
1029,user234,Water,10,3
1030,user349,Water,21,20
1031,user349,Smoothie,11,2
1032,user349,Coffee,20,11
1033,user349,Coffee,10,6
1034,user349,,15,19
1035,user349,Smoothie,10,6
1036,user349,Juice,20,3
1037,user349,Juice,16,1
1038,user349,Smoothie,9,5
1039,user349,Juice,16,10
1040,user282,Juice,9,18
1041,user282,Smoothie,15,4
1042,user282,Water,12,15
1043,user282,Water,11,25
1044,user282,Juice,22,8
1045,user282,Water,11,17
1046,user282,Juice,19,5
1047,user282,,20,15
1048,user282,Smoothie,13,17
1049,user282,,19,17
1050,user165,Water,17,2
1051,user165,Coffee,20,16
1052,user165,Water,11,20
1053,user165,,9,21
1054,user165,,21,9
1055,user165,Smoothie,17,5
1056,user165,Smoothie,11,12
1057,user165,Tea,13,13
1058,user165,Juice,11,16
1059,user165,Juice,18,17
1060,user58,,16,18
1061,user58,Juice,21,1
1062,user58,Smoothie,22,7
1063,user58,,12,19
1064,user58,Tea,11,14
1065,user58,Tea,20,15
1066,user58,Juice,17,25
1067,user58,Coffee,10,14
1068,user58,Smoothie,11,0
1069,user58,Tea,10,1
1070,user96,Tea,20,24
1071,user96,Juice,18,6
1072,user96,Juice,17,13
1073,user96,Smoothie,9,5
1074,user96,Smoothie,17,14
1075,user96,Coffee,21,11
1076,user96,Coffee,10,21
1077,user96,Water,21,10
1078,user96,Tea,15,5
1079,user96,Water,9,7
1080,user446,,9,12
